date,tariff_to_midweek_id,tariff_to_weekend_id
2024-02,Fevereiro a Junho 2024 - MDS,Fevereiro a Junho 2024 - FDS
2024-03,Fevereiro a Junho 2024 - MDS,Fevereiro a Junho 2024 - FDS
2024-04,Fevereiro a Junho 2024 - MDS,Fevereiro a Junho 2024 - FDS
2024-05,Fevereiro a Junho 2024 - MDS,Fevereiro a Junho 2024 - FDS
2024-06,Fevereiro a Junho 2024 - MDS,Fevereiro a Junho 2024 - FDS
2024-07,Julho 2024 - MDS,Julho 2024 - FDS
2024-08,Agosto a Setembro 2024 - MDS,Agosto a Setembro 2024 - FDS
2024-09,Agosto a Setembro 2024 - MDS,Agosto a Setembro 2024 - FDS
2024-10,Outubro a Dezembro 2024 - MDS,Outubro a Dezembro 2024 - FDS
2024-11,Outubro a Dezembro 2024 - MDS,Outubro a Dezembro 2024 - FDS
2024-12,Outubro a Dezembro 2024 - MDS,Outubro a Dezembro 2024 - FDS
