id,tariffs_id,adt,adtex,chd0,chd4,chd8,type
f179b6b7-4b9c-4072-9e2d-5ee6974f1885,Fevereiro a Junho 2024 - MDS,360,360,0,119,119,10h
466cc648-da8f-46e5-9d82-7e02f1084954,Fevereiro a Junho 2024 - MDS,220,220,0,117,117,12h
6d5e2c6e-86af-4fb0-b1b4-0d814e3432e1,Fevereiro a Junho 2024 - FDS,450,450,0,141,141,10h
a5051ca3-325a-4990-a7d4-aafca0cebcdc,Fevereiro a Junho 2024 - FDS,263,263,0,140,140,12h
cb8cfda0-d98c-4286-abeb-b19ed7fba408,Julho 2024 - MDS,540,540,0,144,180,10h
80df072b-df02-4d41-8c49-35b30b730d40,Julho 2024 - MDS,261,261,0,139,139,12h
3987c68b-3114-49fb-9fda-4251c9f08129,Julho 2024 - FDS,540,540,0,144,180,10h
d725c9ad-6a97-41b2-a491-01f847084cc9,Julho 2024 - FDS,284,284,0,151,151,12h
fa79c220-f2d0-41a4-be63-1ab034738962,Agosto a Setembro 2024 - MDS,360,360,0,124,155,10h
2a042fc1-d66a-4e23-97d3-b271dc6e88ab,Agosto a Setembro 2024 - MDS,220,220,0,117,117,12h
64277059-e149-4f11-95b8-5c54b8c45928,Agosto a Setembro 2024 - FDS,450,450,0,124,155,10h
dfa5b95c-a1dd-4350-b00a-b5e1dd4af112,Agosto a Setembro 2024 - FDS,263,263,0,140,140,12h
262dc118-b1eb-4fa9-950d-fab839fb0e72,Outubro a Dezembro 2024 - MDS,387,387,0,131,165,10h
0c3a1190-1dab-4aeb-a6a5-eef63dc5b0d8,Outubro a Dezembro 2024 - MDS,232,232,0,123,123,12h
72ebf188-72ac-455a-8581-2aaa74d8e8b4,Outubro a Dezembro 2024 - FDS,486,486,0,131,165,10h
265d3961-6339-4a4b-9dc9-9a0214ac5e67,Outubro a Dezembro 2024 - FDS,280,280,0,149,149,12h
f9e0963a-dc03-4fd7-9add-eccf56b92c07,REPÚBLICA - 2024,625,625,0,157,204,10h
8baa9f13-2c86-435a-827d-41eed6ba2580,REPÚBLICA - 2024,346,346,0,184,184,12h
dbc26474-7005-4158-9dc6-3755f94e3ee4,NATAL / 2024,625,625,0,156,194,10h
ec7fd0f7-4a0c-431e-8914-cbb80edab535,NATAL / 2024,346,346,0,184,184,12h
fa69cefc-c296-4e08-a8dd-2fa8a16528fa,REVEILLON / 2024-2025,803,803,0,190,241,10h
24d2e503-266d-424f-99c5-15bb7b39f872,REVEILLON / 2024-2025,431,431,0,229,229,12h
